首席执行官        Chief Executive Officer
医学词汇:

医疗主任              Clinical Director
食疗技师              Dietary Technician
急诊技师              Emergency Medical Technician 
健美师                Fitness Instructor
病历员                Medical Records Clerk
看护员                Nursing Administrator
职业疗法              Occupational Therapist
药学师                Pharmacist
药品技师              Pharmacy Technician
理疗师                Physical Therapist
助理医师              Physician's Assistant
有氧治疗师            Respiratory Therapist
语言心理学家          Speech Pathologist
脊椎指压治疗者        Chiropractor
牙科助理              Dental Assistant
牙科医生              Dentist
牙科保健              Dental Hygienist
牙科技师              Dental Technician
整牙医生              Orthodontist
家庭护理              Home Health Aide
实验技师              Lab Technician
护士                  Nurse 
看护助手              Nursing Aide
护士长                Nursing Supervisor
眼科医生              Optician
助理兽医              Veterinary Assistant
兽医                  Veterinarian
精神病医师            Psychiatrist
外科医生              Surgeon
内科医生              Physician
儿科医生              Pediatrician
住院医师              Resident Doctor
中医师                Herb Doctor
助产士                Accoucheur
